"GEN","Mean_YLD","WAASB","Rank_YLD","Rank_WAASB","Total_Score"
"G4",103.8,0.787634026608496,2,4,6
"G10",99.5166666666667,0.231050305278892,6,1,7
"G3",102.7,1.11255863748144,3,5,8
"G7",104.25,1.6623017064844,1,8,9
"G5",101.966666666667,1.47345688715007,4,7,11
"G2",88.4333333333333,0.403855567191639,10,2,12
"G8",97.6166666666667,0.498383399150965,9,3,12
"G6",99.4333333333333,1.3183784747467,7,6,13
"G12",100.833333333333,1.78116061465412,5,9,14
"G1",99.2,2.88831925522761,8,12,20
"G11",81.6833333333333,1.99182297977095,12,10,22
"G9",84.3833333333333,2.25686096597226,11,11,22
